이름,슬롯,타입,옵션
Ivory Tower,Off-hand,Shield,Blocks release forward a Fires of Heaven.
Jace's Hammer of Vigilance,Weapon (1H),One-Handed Mace,"Increase the size of your Blessed Hammers. Increases Blessed Hammer Damage by 10–15% ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Jade Harvester's Courage,Legs,Set Pants,Part of the Raiment of the Jade Harvester set
Jade Harvester's Joy,Shoulders,Set Shoulders,Part of the Raiment of the Jade Harvester set
Jade Harvester's Mercy,Hands,Set Gloves,Part of the Raiment of the Jade Harvester set
Jade Harvester's Peace,Chest,Set Chest Armor,Part of the Raiment of the Jade Harvester set
Jade Harvester's Swiftness,Feet,Set Boots,Part of the Raiment of the Jade Harvester set
Jade Harvester's Wisdom,Head,Set Helmet,Part of the Raiment of the Jade Harvester set
Jang's Envelopment,Waist,Belt,"Enemies damaged by Black Hole are also slowed by 60–80% for 3 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 61 Stats ; Level 70 Stats ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; 265–314 Base Armor"
Jawbreaker,Weapon (1H),Fist Weapon,"When Dashing Strike hits an enemy more than 30–35 yards away, its Charge cost is refunded. ; Effective use of this mechanic makes Dashing Strike the fastest way to get around a zone. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Jekangbord,Off-hand,Crusader Shield,"Blessed Shield ricochets to 4–6 additional enemies. ; You can view a list of all items that Modify Blessed Shield at this link . ; Extra Blessed Shield hits will be able to generate procs. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Jeram's Bracers,Wrists,Bracers,Wall of Death deals 75–100% increased damage and can be cast up to three times within 2 seconds before the cooldown begins. ; Increases the attack speed of Wall of Death by 30% - is not reflected in the item's tooltip. It is a hidden mechanic of the item. ; The minimum level this item can drop at is 12. Below you will find the range of stats found on the level 12 version. ; 25–32 Base Armor ; Primary Stats ; Critical Hit Chance Increased by 1.5–2.0%
Johanna's Argument,Weapon (1H),One-Handed Flail,Increase the attack speed of Blessed Hammer by 100%.
Justice Lantern,Ring,Ring,"Reduces duration of control impairing effects by 35–70% +11-16% Chance to Block ; 35-50% is the highest Crowd Control roll in the entire game and normally block bonuses do not roll on rings. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Justinian's Mercy,Weapon (1H),One-Handed Flail,"Blessed Hammer gains the effect of the Dominion rune. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
K'mar Tenclip,Weapon (1H),Hand Crossbow,"Strafe gains the effect of the Drifting Shadow rune. ; Strafe gains the effect of the Drifting Shadow rune - ""Movement speed increased to 100% of normal running speed while strafing."" while you have this Crossbow equipped. You are still free to choose another rune in addition to the one you receive by having this bow equipped. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Kanai's Cube,,Artifact,
Kassar's Retribution,Weapon (1H),One-Handed Flail,"Casting Justice increases your movement speed by 15-20% for 2 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Kekegi's Unbreakable Spirit,Head,Spirit Stone,"Damaging enemies has a chance to grant you an effect that removes the Spirit cost of your abilities for 2-4 seconds. ; Effect has a cooldown of 30 seconds. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
Kethryes' Splint,Wrists,Bracers,Crafted Legendary Bracers that have 6 random Magic Properties.
Key of Bones,Material,Crafting Material,Can be combined with other keys to create a machine of infernal power. ; Material for crafting an Infernal Machine . ; Drops from Odeg the Keywarden in the Fields of Misery - Act 1. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Key of Evil,Material,Crafting Material,Can be combined with other keys to create a machine of infernal power. ; Material for crafting an Infernal Machine . ; Drops from Nekarat the Keywarden in the Silver Spire Level 1- Act 4. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Key of Gluttony,Material,Crafting Material,Can be combined with other keys to create a machine of infernal power. ; Material for crafting an Infernal Machine . ; Drops from Sokahr the Keywarden in the Dahlgur Oasis - Act 2. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Key of War,Material,Crafting Material,Can be combined with other keys to create a machine of infernal power. ; Material for crafting an Infernal Machine . ; Drops from Xah'Rith the Keywarden in the Stonefort - Act 3. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Khanduran Rune,Material,Crafting Material,Obtained from Act 1 Horadric Caches and used in Kanai Cube Recipes. ; Obtained from Act 4 Horadric Caches. Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Kill,Weapon (1H),Dagger,"No unique legendary effect. ; No extra details available at this moment. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
Kotuur's Brace,Waist,Mighty Belt,"4-11% chance to Block. ; Belts don't normally roll with Block Chance. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 101–132 Base Armor"
Krede's Flame,Ring,Ring,"Taking Fire damage restores your primary resource. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Krelm's Buff Belt,Waist,Set Belt,"Gain 25% run speed. This effect is lost for 5 seconds after taking damage. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Krelm’s Buff Bulwark Krelm's Buff Belt ; Krelm's Buff Bracers ; (2) Set:"
Krelm's Buff Bracers,Wrists,Set Bracers,"You are immune to Knockback and Stun effects. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Cannot be found in the console version of Diablo 3 - Reaper of Souls. (PS3, PS4, Xbox 360, Xbox One) ; Krelm’s Buff Bulwark Krelm's Buff Belt ; Krelm's Buff Bracers ; (2) Set:"
Kridershot,Weapon (2H),Bow,"Elemental Arrow now generates 3–4 Hatred. ; Elemental Arrow normally costs 10 hatred. With this bow you can use Elemental Arrow as a primary attack and a hatred generator in your build. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Kymbo’s Gold,Neck,Amulet,"Picking up gold heals you for an amount equal to the gold that was picked up. +75–100% Extra Gold from Monsters ; This amulet gives you a large amount of gold find and it heals you when you pickup gold. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Lacuni Prowlers,Wrists,Bracers,"Attack Speed Increased by 5.0–7.0% +10–12% Movement Speed ; These bracers are unique because Attack Speed and Movement Speed do not normally roll on Bracers. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 220-261 Base Armor"
Lai Yui's Persuader,,Daibo,Crafted Daibo that has 5 random Magic Properties
Lamentation,Waist,Mighty Belt,"Rend can now stack up to 2 times on an enemy. ; This Mighty Belt allows Rend to stack twice on an enemy. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 320–419 Base Armor"
Last Breath,Weapon (1H),Ceremonial Knife,"Reduces the cooldown of Mass Confusion by 15–20 seconds. ; Mass of Confusion begins with a 60 second cooldown and the Unstable Realm rune reduces it to 45 seconds. ; Level 22 Stats ; Level 70 Stats ; The minimum level this item can drop at is 22. Below you will find the range of stats found on the level 22 version, however the item can drop at any level above 22. The legendary effect does not change with level. ; Damage"
Leg Guards of Mystery,Legs,Set Pants,Part of the Delsere
Leonine Bow of Hashir,Weapon (2H),Bow,"Bola Shot has a 15–20% chance on explosion to pull in all enemies within 24 yards. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Level 70 stat ranges shown below. ; Damage ; 2179.8–2552.9 Base DPS (Blizzard's guide says 670.6)"
Leoric's Crown,Head,Helmet,"Increase the effect of any gem socketed into this item by 75–100%. ; This helmet increases the effect of any gem socketed into it. ; Level 15 Stats ; Level 70 Stats ; The minimum level this item can drop at is 15. Below you will find the range of stats found on the level 15 version, however the item can drop at any level above 15. The legendary effect does not change with level. ; 72–89 Base Armor"
Leoric's Regret,Material,Crafting Material,Can be combined with other demonic body parts to create a ring of incredible power. ; Material for Hellfire Ring and Hellfire Amulet . ; Drops from the Uber Skeleton & Maghda encounter in the Infernal Machine Event. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Leoric's Signet,Ring,Ring,"Increases Bonus Experience by 20–30% ; This ring increases your bonus experience. You can wear this ring and a Hellfire Ring at the same time. ; Level 12 Stats ; Level 70 Stats ; The minimum level this item can drop at is 12. Below you will find the range of stats found on the level 12 version, however the item can drop at any level above 12. The legendary effect does not change with level. ; One of 2 Magic Properties (varies)"
Lidless Wall,Off-hand,Shield,"Adds 4% to Element Damage OR Element skills deal 10–20% more damage. Increases Maximum Resource Amount ; This item is special as shields cannot normally roll increased attack speed, increased element damage or increased maximum resource amount. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 660–699 Base Armor"
Light of Grace,Off-hand,Orb,Ray of Frost now pierces. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Helmets or Wizard Hats : +8-15% Ray of Frost Damage ; Orb: +10-15% Ray of Frost Damage ; B oots: +10-15% Magic Missile Damage ; +Cold Damage : All runes
Lion's Claw,Weapon (1H),Fist Weapon,Seven-Sided Strike performs an additional 7 strikes.
Litany of the Undaunted,Ring,Set Ring,Part of the Legacy of Nightmares set ; Basic Information ; Advanced Information ; Pictures and Video ; The skeleton will be either a bowman or a swordsman. ; The skeletons do 300% weapon damage and last for 30 seconds.
Little Rogue,Weapon (1H),Set One-Handed Sword,"Part of the Istvan ; Set bonus details will be added once this item has been fully tested. ; Istvan's Paired Blades Little Rogue ; The Slanderer ; (2) Set: Every time you spend primary resource, you gain 6% increased attack speed for 5 seconds. This effect stacks up to 5 times. ; Level 70 stat ranges shown below."
Living Umbral Oath,Weapon (1H),Ceremonial Knife,Crafted Ceremonial Knife that has 5 random Magic Properties.
Logan's Claw,Weapon (1H),Fist Weapon,No unique legendary effect.
Longshot,Weapon (2H),Bow,"Critical Hit Damage Increased by 31.0–35.0% ; Only some legendary weapons can roll with Critical Hit Damage. ; 2,480 Gold ; 27x Common Debris ; 16x Exquisite Essence ; 4x Iridescent Tear"
Lut Socks,Feet,Boots,Leap can be cast again within 2 seconds before the cooldown begins. ; These boots allow Barbarians to Leap 3 times before the cooldown begins. ; Each Leap behaves according to the Leap rune that you have selected. ; These boots synergize very well with the Might of the Earth's 4 piece set bonus (Cause an Earthquake when you land after using Leap). ; Level 8 Stats ; Level 70 Stats
Mad Monarch's Scepter,Weapon (1H),One-Handed Mace,"After killing 10 enemies, you release a Poison Nova that deals 1050–1400% weapon damage as Poison to enemies within 30 yards. ; Basic Information ; Advanced Information ; Pictures and Video ; You receive a buff that tracks the of amount of souls you have collected every time you kill an enemy. This makes it easy to know how many more enemies you have to kill before the next Poison Nova is casted. ; Enemies killed by Poison Nova do not grant you a soul towards the next Poison Nova."
Madawc's Sorrow,Weapon (2H),Two-Handed Mighty Weapon,"Stun enemies for 2 second the first time you hit them. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Madstone,Head,Spirit Stone,"Your Seven-Sided Strike applies Exploding Palm. ; This Spirit Stone causes a Seven-Sided Strike to apply an Exploding Palm attack. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 360–472 Base Armor"
Magefist,Hands,Gloves,"Fire Skills deal 15-20% more damage. ; These gloves have a high damage bonus to fire skills. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 88–106 Base Armor"
Maloth's Focus,Weapon (2H),Staff,Enemies occasionally flee at the sight of this staff. ; Every 25 seconds the staff automatically fears all enemies directly around you. ; Monsters are feared for 3 seconds. ; Good to keep in your inventory to quickly send monsters running if you are in a bind. The effect will be casted as soon as the Staff is equipped if it has been longer than 25 seconds since the last fear. ; Level 50 Stats ; Level 70 Stats
Manajuma's Carving Knife,Weapon (1H),Set Ceremonial Knife,Part of the Manajuma
Manajuma's Gory Fetch,Off-hand,Set Mojo,Part of the Manajuma
Manticore,Weapon (2H),Crossbow,No unique legendary effect.
Mantle of the Rydraelm,Chest,Chest Armor,Crafted Chest Armor that has 6 random Magic Properties.
Mantle of the Upside-Down Sinners,Shoulders,Set Shoulders,"Part of the Raiment of a Thousand Storms set ; On the Public Test Realm for patch 2.2 this set has it's effect changed. Note the effect may change before the patch is released on live servers. ; (2) Set: ; Your Spirit Generators have 25% increased attack speed and 300% increased damage. ; (4) Set: ; Dashing Strike now spends 75 Spirit, but refunds a Charge when it does."
Mara's Kaleidoscope,Neck,Amulet,Prevent all Poison damage taken and heal yourself for 10-15% of the amount prevented. ; The Plagued pools and Poison Enchanted paths of elites will now heal you instead of damaging you. ; Other Poison Enemies Include ; Those tall Act II monsters that shoot poison projectiles. ; The sewer dwelling dogs of Act II that do poison damage after they die. ; Sand Wasps
Marauder's Carapace,Chest,Set Chest Armor,Part of the Embodiment of the Marauder set
Marauder's Encasement,Legs,Set Pants,Part of the Embodiment of the Marauder set
Marauder's Gloves,Hands,Set Gloves,Part of the Embodiment of the Marauder set
Marauder's Spines,Shoulders,Set Shoulders,Part of the Embodiment of the Marauder set
Marauder's Treads,Feet,Set Boots,Part of the Embodiment of the Marauder set
Marauder's Visage,Head,Set Helmet,Part of the Embodiment of the Marauder set
Mark of The Magi,Weapon (2H),Staff,Crafted Staff that has 5 random Magic Properties.
Mask of Jeram,Head,Voodoo Mask,"Pets deal 75% more damage. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
Mask of the Searing Sky,Head,Set Helmet,"Part of the Raiment of a Thousand Storms set ; On the Public Test Realm for patch 2.2 this set has it's effect changed. Note the effect may change before the patch is released on live servers. ; (2) Set: ; Your Spirit Generators have 25% increased attack speed and 300% increased damage. ; (4) Set: ; Dashing Strike now spends 75 Spirit, but refunds a Charge when it does."
Maximus,Weapon (2H),Two-Handed Sword,Chance on hit to summon a Demonic Slave. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Fire skills deal X% more damage . ; The Demonic Slave will fight for 15 seconds or until he is killed.
Mempo of Twilight,Head,Helmet,"Attack Speed Increased by 5.0–7.0% ; Helmets do not usually roll with Attack Speed. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 397–471 Base Armor"
Meticulous Bolts,Off-hand,Quiver,"Elemental Arrow - Ball Lightning now travels at 30–40% speed. ; This quiver makes the Ball Lightning travel slower so that it can shock enemies for a longer duration. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Primary Stats"
Mirinae. Teardrop of the Starweaver,Gem,Gem,15% chance on hit to smite a nearby enemy for 2000% weapon damage as Holy. Periodically smite a nearby enemy. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +40% weapon damage. ; Benefits from Holy skills deal X% more damage . ; Does not apply Toxin or Pain Enhancer gem effects.
Mirrorball,Off-hand,Orb,"Magic Missile fires 1–2 extra missiles. ; When you fire a magic missile, Mirrorball will allow you to fire 1-2 extra missiles with the same runes applied ; Belt: +10-15% Magic Missile Damage ; Orb: +10-15% Magic Missile Damage ; Pants: +10-15% Magic Missile Damage ; +Arcane Damage : Charged Blast, Split, and Seeker Rune"
Molten Wildebeest’s Gizzard,Gem,Gem,"Regenerates 10000 Life per Second. After not taking damage for 4 seconds, gain an absorb shield for 200% of your total Life per Second. (Requires Rank 25) ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; +1000 Life per Second per gem rank."
Monster Hunter,Weapon (1H),One-Handed Sword,"+9–15% Damage to Beasts ; Deals bonus damage to beasts. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level."
Moonlight Ward,Neck,Amulet,"Hitting an enemy within 15 yards has a chance to ward you with shards of Arcane energy that explode when enemies get close, dealing 240-320% weapon damage as Arcane to enemies within 15 yards. ; Benefits from Arcane skills deal X% more damage . ; Summons 4 balls of arcane energy that spin around you dealing 240-320% weapon damage to any enemies they touch. ; The balls of arcane energy explode one at a time, no faster than one every .5 seconds. ; High chance on hit and the effect is nearly permanently active. ; Level 8 Stats"
Moratorium,Gem,Gem,"25% of all damage taken is instead staggered and dealt to you over 3.0 seconds. 10% chance on kill to clear all staggered damage. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +0.1 second to the stagger duration. ; Precious stones can sometimes be found among the peaks of Ivgorod. The harmonics of these gems, while in combat, are said to forestall death itself."
Mortick's Breeches,Legs,Pants,"Wrath of the Berserker Gains the effect of every rune. ; This item was added in a recent patch, please comment below if you have any information explaining how this item works. Flavour Text These ancient breeches belonged to the barbarian berserker Mortick, who believed them to be lucky and never took them off. In later years, enemies always gave him a wide berth, likely due to his battlefield prowess."
Mountain of the Light,Shoulders,Set Shoulders,Part of the Seeker of the Light set
Mutilation Guard,Gem,Gem,"Gain 10.0% melee damage reduction. While below 30% Life, you may move unhindered through enemies. (Requires Rank 25) ; This item was exclusive to Season 3. However it can now drop in any game mode. ; ""Chau Thanh of Guozhi designed a gem which would transport the pain and suffering of a physical attack to an undisclosed location. When asked about the ultimate destination of this damage, she would simply smile and mutter “Well deserved. Well deserved."""
Myken’s Ball Of Hate,Off-hand,Orb,"Electrocute can chain to enemies that have already been hit. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; The image is currently a placeholder as the item does not yet have a graphic in the Reaper of Souls beta."
Nagelring,Ring,Ring,"Summons a Fallen Lunatic to your side every 15 seconds. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Natalya's Bloody Footprints,Feet,Set Boots,Part of the Natalya
Natalya's Embrace,Chest,Set Cloak,Part of the Natalya
Natalya's Reflection,Ring,Set Ring,Part of the Natalya
Natalya's Sight,Head,Set Helmet,Part of the Natalya
Natalya's Slayer,Weapon (1H),Set Hand Crossbow,Part of the Natalya
Neanderthal,Weapon (1H),One-Handed Mace,No unique legendary effect.
Nemesis Bracers,Wrists,Bracers,"Shrines will spawn an enemy champion. ; Basic Information ; Pictures and Video ; Every non-Cursed Shrine or Pylon will spawn an enemy Champion (Yellow Elite pack) when clicked by a person who is wearing these bracers. Once a Cursed Shrine event is completed the Cursed Shrine becomes a regular Shrine and these bracers will spawn an elite once the regular Shrine is clicked. ; If more than one person is wearing these bracers when a Shine is clicked, only one Champion pack will spawn. ; It is important to note that the pack appears directly on the person wearing these bracers who clicked on the Shrine. Therefore, it is a good idea to have an escape ability (like Teleport or Leap) or crowd control ability (like Wave of Force, Frost Nova or Threatening Shout - Terrify) ready to go."
Night's Reaping,Weapon (1H),One-Handed Mighty Weapon,+14–18% Life Crafted Mighty Weapon that has 4 random Magic Properties. ; Weapons don't normally roll with Life % Bonus. ; Level 70 stat ranges shown below. ; Damage ; 1862.9–2209.4 DPS ; (1230–1448)–(1636–1951) Damage
Nilfur's Boast,Feet,Boots,"Increases the damage of Meteor by 100% When your Meteor hits 3 enemies or less, the damage is increased by 150-200%. ; This item was added in a recent patch, please comment below if you have any information explaining how this item works. ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; 309-366 Base Armor ; Primary Stat ; +81–85 Resistance to All Elements"
Nutcracker,Weapon (1H),One-Handed Mace,"Critical Hit Damage Increased by 26.0–30.0% 5.0–10.0% Chance to Stun on Hit ; Only some legendary weapons can roll with Critical Hit Damage, weapons don't normally roll with Critical Hit Chance and this mace has a nice Stun chance amount. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level."
Obsidian Ring of the Zodiac,Ring,Ring,Reduce the remaining cooldown of one of your skills by 1 seconds when you hit with a resource-spending attack. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version. ; Primary Stats ; Attack Speed Increased by 4.0–5.0% ; Critical Hit Chance Increased by 4.5–6.0%
Oculus Ring,Ring,Ring,"Chance to create an area of focused power on killing a monster. Damage is increased by 35-40% while standing in the area ; In Loot 2.0 rings are not able to roll Attack Speed over 6%. Also 12-16% is a very large amount of elite damage reduction. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Primary Stats"
Odyn Son,Weapon (1H),One-Handed Mace,20–40% chance to Chain Lightning enemies when you hit them. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Lightning skills deal X% more damage . ; Chain Lightning does 100 - 120% average weapon damage.
Odyssey's End,Weapon (2H),Bow,"Enemies snared by your Entangling Shot take 20–25% increased damage from all sources. ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Level 70 stat ranges shown below. ; Damage ; 2179.8–2552.9 Base DPS"
Omnislash,Waist,Belt,"Slash attacks in all directions ; This item is currently on the Public Test Realm for patch 2.2. Note the effect may change before the patch is released on live servers. More details will be posted once we find out more about the item. ; A gift from the Patriarch Seph to Inhora, a crusader who came to the aid of Ivgorod at a crucial time."
Omryn's Chain,Waist,Belt,Drop Caltrops when using Vault.
Overwhelming Desire,Neck,Amulet,"Chance on hit to charm the enemy. While charmed, the enemy takes 35% more damage ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Randomly drops from the Act 3 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item. ; Level 12 Stats ; Level 70 Stats"
Pain Enhancer,Gem,Gem,"Critical hits cause the enemy to bleed for 1200% weapon damage as Physical over 3 seconds. Gain Blood Frenzy, granting you 3% increased Attack Speed for each bleeding enemy within 20 yards. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +30% weapon damage over 3 seconds. ; Benefits from Physical skills deal X% more damage . ; Pets, including Demon Hunter Sentries, can apply the bleed."
Pandemonium Loop,Ring,Ring,Enemies slain while Feared die in a bloody explosion and cause other nearby enemies to flee in Fear. Deals 200-800% damage. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Physical skills deal X% more damage . ; The ring's explosion does 200% average weapon damage.
Pauldrons of Akkhan,Shoulders,Set Shoulders,Part of the Armor of Akkhan set ; The two piece set bonus will increase your Strength by 500. ; The four piece bonus decreases the cost of all your abilities by 50% during the 20 seconds that Akarat's Chamption is active. ; The six piece bonus reduces the cooldown of Akarat's Chamption down to 45 seconds. ; Armor of Akkhan Cuisses of Akkhan ; Breastplate of Akkhan
Pauldrons of the Skeleton King,Shoulders,Shoulders,"When receiving fatal damage, there is a chance that you are instead restored to 25% of maximum Life and cause nearby enemies to flee in fear. ; During testing the effect happened about 10% of the time. The item seems to have no internal cooldown as I had it happen twice in quick succession. ; Not reliable enough to be recommended for Hardcore mode. ; Fear lasts for 2 seconds. ; Randomly drops from the Act 1 & 4 Horadric Cache , the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item."
Pauldrons of the Wastes,Shoulders,Set Shoulders,Part of the Wrath of the Wastes set
Pendergrasps,Hands,Gloves,"Reduces duration of control impairing effects by 5–10% Crafted Gloves that have 3 random Magic Properties ; Gloves don't normally roll with Crowd Control reduction. ; 2,720 Gold ; 22x Common Debris ; 3x Exquisite Essence ; 18x Iridescent Tear"
Penders Purchase,Hands,Gloves,Crafted Gloves that have 6 random Magic Properties.
Pig Sticker,Weapon (1H),Dagger,"+15-30% Damage to Beasts +15-30% Damage to Humans ; This dagger will allow you to do up to 30% more damage to beasts and humans. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level."
Piro Marella,Off-hand,Crusader Shield,Reduces the Wrath cost of Shield Bash by 40–50%. Crafted Crusader Shield that has 8 random Magic Properties ; This shield can reduce the cost of Shield Bash from 30 Wrath down to 15. ; Level 70 stat ranges shown below. ; 1980–2277 Base Armor ; +10.0–20.0% Chance to Block ; (17000–19000)–(21000–25000) Block Amount
